Date,Open,High,Low,Close,Adj Close,Volume
20/6/2003,7.7989,7.8,7.7978,7.7989,7.7989,0
23/6/2003,7.79875,7.8,7.7977,7.79875,7.79875,0
24/6/2003,7.79845,7.7998,7.7975,7.79845,7.79845,0
25/6/2003,7.7983,7.7996,7.7974,7.7983,7.7983,0
26/6/2003,7.7983,7.7996,7.7972,7.7983,7.7983,0
27/6/2003,7.79805,7.7994,7.7969,7.79805,7.79805,0
30/6/2003,7.7983,7.7999,7.7969,7.7983,7.7983,0
1/7/2003,7.79815,7.7997,7.7972,7.79815,7.79815,0
2/7/2003,7.79815,7.7994,7.797,7.79815,7.79815,0
3/7/2003,7.7982,7.7994,7.7971,7.7982,7.7982,0
4/7/2003,7.79835,7.7994,7.7972,7.79835,7.79835,0
7/7/2003,7.7983,7.7994,7.7971,7.7983,7.7983,0
8/7/2003,7.79855,7.7997,7.793,7.79855,7.79855,0
9/7/2003,7.79865,7.7999,7.7976,7.79865,7.79865,0
10/7/2003,7.7991,7.8003,7.7978,7.7991,7.7991,0
11/7/2003,7.7991,7.8004,7.789,7.7991,7.7991,0
14/7/2003,7.79965,7.8007,7.7982,7.79965,7.79965,0
15/7/2003,7.7994,7.8007,7.7984,7.7994,7.7994,0
16/7/2003,7.79945,7.8006,7.7982,7.79945,7.79945,0
17/7/2003,7.7995,7.8006,7.7983,7.7995,7.7995,0
18/7/2003,7.7992,7.8006,7.7982,7.7992,7.7992,0
21/7/2003,7.7993,7.8007,7.7982,7.7993,7.7993,0
22/7/2003,7.7992,7.8004,7.7982,7.7992,7.7992,0
23/7/2003,7.7992,7.8004,7.7981,7.7992,7.7992,0
24/7/2003,7.7991,7.8003,7.798,7.7991,7.7991,0
25/7/2003,7.79945,7.8004,7.7978,7.79945,7.79945,0
28/7/2003,7.799,7.8004,7.7978,7.799,7.799,0
29/7/2003,7.7991,7.8002,7.7968,7.7991,7.7991,0
30/7/2003,7.79905,7.8002,7.7981,7.79905,7.79905,0
31/7/2003,7.7993,7.8009,7.7981,7.7993,7.7993,0
1/8/2003,7.79915,7.8005,7.7981,7.79915,7.79915,0
4/8/2003,7.79925,7.8003,7.7981,7.79925,7.79925,0
5/8/2003,7.7993,7.8004,7.7981,7.7993,7.7993,0
6/8/2003,7.7995,7.8006,7.7983,7.7995,7.7995,0
7/8/2003,7.7995,7.8006,7.7985,7.7995,7.7995,0
8/8/2003,7.7994,7.8006,7.7984,7.7994,7.7994,0
11/8/2003,7.7995,7.8006,7.7983,7.7995,7.7995,0
12/8/2003,7.79935,7.8005,7.7983,7.79935,7.79935,0
13/8/2003,7.7993,7.8004,7.7982,7.7993,7.7993,0
14/8/2003,7.79925,7.8005,7.7981,7.79925,7.79925,0
15/8/2003,7.7991,7.8004,7.7982,7.7991,7.7991,0
18/8/2003,7.79915,7.8004,7.7982,7.79915,7.79915,0
19/8/2003,7.79875,7.8004,7.786,7.79875,7.79875,0
20/8/2003,7.7986,7.7999,7.7974,7.7986,7.7986,0
21/8/2003,7.79865,7.7999,7.7974,7.79865,7.79865,0
22/8/2003,7.79845,7.7998,7.7975,7.79845,7.79845,0
25/8/2003,7.79885,7.8001,7.7,7.79885,7.79885,0
26/8/2003,7.79925,7.8002,7.7977,7.79925,7.79925,0
27/8/2003,7.79925,7.8003,7.7981,7.79925,7.79925,0
28/8/2003,7.79925,7.8003,7.7981,7.79925,7.79925,0
29/8/2003,7.79925,7.8009,7.7983,7.79925,7.79925,0
1/9/2003,7.79925,7.8004,7.7981,7.79925,7.79925,0
2/9/2003,7.79945,7.8006,7.7978,7.79945,7.79945,0
3/9/2003,7.7992,7.8006,7.7981,7.7992,7.7992,0
4/9/2003,7.7993,7.8006,7.7982,7.7993,7.7993,0
5/9/2003,7.79935,7.8005,7.7982,7.79935,7.79935,0
8/9/2003,7.7994,7.8006,7.7981,7.7994,7.7994,0
9/9/2003,7.7995,7.8006,7.7983,7.7995,7.7995,0
10/9/2003,7.79935,7.8005,7.7981,7.79935,7.79935,0
11/9/2003,7.79915,7.8004,7.798,7.79915,7.79915,0
12/9/2003,7.79925,7.8005,7.7981,7.79925,7.79925,0
15/9/2003,7.7993,7.8005,7.7983,7.7993,7.7993,0
16/9/2003,7.7993,7.8004,7.7954,7.7993,7.7993,0
17/9/2003,7.79955,7.8005,7.7982,7.79955,7.79955,0
18/9/2003,7.79945,7.8005,7.7982,7.79945,7.79945,0
19/9/2003,7.79865,7.8004,7.7977,7.79865,7.79865,0
22/9/2003,7.75125,7.7998,7.7108,7.75125,7.75125,0
23/9/2003,7.7435,7.8012,7.7286,7.7435,7.7435,0
24/9/2003,7.7595,7.7704,7.7392,7.7595,7.7595,0
25/9/2003,7.7655,7.7703,7.7532,7.7655,7.7655,0
26/9/2003,7.7495,7.7673,7.7469,7.7495,7.7495,0
29/9/2003,7.7505,7.8011,7.7381,7.7505,7.7505,0
30/9/2003,7.7446,7.7546,7.7394,7.7446,7.7446,0
1/10/2003,7.738,7.7461,7.7345,7.738,7.738,0
2/10/2003,7.7295,7.7415,7.718,7.7295,7.7295,0
3/10/2003,7.7085,7.7341,7.7015,7.7085,7.7085,0
6/10/2003,7.7088,7.7204,7.7061,7.7088,7.7088,0
7/10/2003,7.70845,7.7161,7.7065,7.70845,7.70845,0
8/10/2003,7.7345,7.7465,7.7093,7.7345,7.7345,0
9/10/2003,7.732,7.7416,7.7135,7.732,7.732,0
10/10/2003,7.7315,7.7376,7.7226,7.7315,7.7315,0
13/10/2003,7.7355,7.7388,7.7301,7.7355,7.7355,0
14/10/2003,7.74285,7.7557,7.7333,7.74285,7.74285,0
15/10/2003,7.7435,7.7488,7.7381,7.7435,7.7435,0
16/10/2003,7.7414,7.7517,7.7392,7.7414,7.7414,0
17/10/2003,7.74575,7.753,7.7398,7.74575,7.74575,0
20/10/2003,7.751,7.7542,7.7404,7.751,7.751,0
21/10/2003,7.7515,7.7576,7.7495,7.7515,7.7515,0
22/10/2003,7.7523,7.7563,7.7487,7.7523,7.7523,0
23/10/2003,7.754,7.7558,7.7491,7.754,7.754,0
24/10/2003,7.755,7.756,7.7505,7.755,7.755,0
27/10/2003,7.7532,7.758,7.7513,7.7532,7.7532,0
28/10/2003,7.7591,7.7605,7.7527,7.7591,7.7591,0
29/10/2003,7.75985,7.7627,7.7565,7.75985,7.75985,0
30/10/2003,7.7605,7.7649,7.7563,7.7605,7.7605,0
31/10/2003,7.7668,7.8012,7.7613,7.7668,7.7668,0
3/11/2003,7.76625,7.769,7.7636,7.76625,7.76625,0
4/11/2003,7.76775,7.7695,7.7643,7.76775,7.76775,0
5/11/2003,7.76775,7.7705,7.7655,7.76775,7.76775,0
6/11/2003,7.769,7.7713,7.7665,7.769,7.769,0
7/11/2003,7.7667,7.7713,7.7653,7.7667,7.7667,0
10/11/2003,7.74325,7.7709,7.737,7.74325,7.74325,0
11/11/2003,7.7565,7.7693,7.7456,7.7565,7.7565,0
12/11/2003,7.76415,7.766,7.7553,7.76415,7.76415,0
13/11/2003,7.7613,7.768,7.7575,7.7613,7.7613,0
14/11/2003,7.76375,7.7655,7.7519,7.76375,7.76375,0
17/11/2003,7.76285,7.7654,7.7533,7.76285,7.76285,0
18/11/2003,7.75685,7.7645,7.7,7.75685,7.75685,0
19/11/2003,7.76005,7.7606,7.7546,7.76005,7.76005,0
20/11/2003,7.7611,7.7638,7.7569,7.7611,7.7611,0
21/11/2003,7.7619,7.7646,7.7587,7.7619,7.7619,0
24/11/2003,7.7687,7.7694,7.7604,7.7687,7.7687,0
25/11/2003,7.7675,7.7712,7.7655,7.7675,7.7675,0
26/11/2003,7.768,7.7702,7.7655,7.768,7.768,0
27/11/2003,7.767,7.7724,7.7605,7.767,7.767,0
28/11/2003,7.7648,7.7682,7.7611,7.7648,7.7648,0
1/12/2003,7.7675,7.7683,7.7572,7.765,7.765,0
2/12/2003,7.7646,7.7671,7.7572,7.7594,7.7594,0
3/12/2003,7.7594,7.7673,7.7554,7.7604,7.7604,0
4/12/2003,7.763,7.7684,7.7599,7.7663,7.7663,0
5/12/2003,7.7657,7.7718,7.7498,7.7597,7.7597,0
8/12/2003,7.7631,7.7689,7.7592,7.7647,7.7647,0
9/12/2003,7.7629,7.769,7.7587,7.7636,7.7636,0
10/12/2003,7.7625,7.7664,7.7584,7.7629,7.7629,0
11/12/2003,7.7629,7.7693,7.7591,7.7623,7.7623,0
12/12/2003,7.7633,7.7667,7.7564,7.7605,7.7605,0
15/12/2003,7.7616,7.7673,7.7565,7.7629,7.7629,0
